Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1963","1079.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1964","1019.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1965","1229.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1966","1034.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1967","1379.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1968","1484.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1969","1489.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1970","1495.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1971","1505.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1972","1530.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1973","1555.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1974","1580.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1975","1620.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1976","1681.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1977","1756.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1978","1845.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1979","1945.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1980","2030.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1981","2130.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1982","2255.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1983","2180.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1984","2155.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1985","2255.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1986","2455.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1987","2755.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1988","2755.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1989","2855.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1990","3005.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1991","3224.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1992","3005.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1993","3005.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1994","3005.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1995","3005.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1996","3005.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1997","3005.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1998","3005.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1999","3393.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","2000","2005.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","2001","685.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","2002","855.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","2003","1055.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","2004","1305.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","2005","1605.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
